iter	Passed	Remaining
0	140	27990
1	149	14762
2	155	10228
3	161	7896
4	167	6525
5	173	5612
6	179	4954
7	185	4461
8	191	4062
9	196	3736
10	202	3485
11	208	3270
12	213	3078
13	220	2923
14	226	2787
15	232	2671
16	238	2565
17	245	2477
18	252	2407
19	258	2326
20	264	2255
21	270	2189
22	275	2122
23	281	2067
24	287	2012
25	293	1963
26	299	1916
27	304	1869
28	309	1825
29	315	1786
30	320	1747
31	326	1711
32	331	1679
33	336	1644
34	341	1610
35	347	1581
36	352	1553
37	357	1525
38	364	1503
39	372	1488
40	378	1466
41	383	1444
42	389	1421
43	396	1404
44	401	1384
45	408	1366
46	415	1353
47	422	1336
48	428	1320
49	433	1301
50	439	1284
51	446	1271
52	451	1252
53	456	1233
54	461	1216
55	466	1199
56	471	1183
57	477	1169
58	482	1153
59	488	1139
60	494	1125
61	500	1113
62	505	1099
63	511	1087
64	518	1077
65	524	1064
66	530	1053
67	538	1045
68	546	1037
69	552	1026
70	559	1016
71	564	1003
72	569	991
73	577	982
74	582	970
75	587	958
76	593	948
77	598	936
78	605	927
79	611	916
80	616	905
81	622	896
82	628	885
83	634	876
84	640	866
85	645	855
86	649	843
87	655	833
88	660	823
89	664	812
90	670	802
91	675	792
92	680	782
93	686	773
94	691	763
95	695	753
96	700	743
97	706	735
98	711	725
99	715	715
100	721	707
101	726	697
102	731	688
103	737	680
104	742	671
105	746	662
106	752	653
107	757	645
108	762	636
109	768	628
110	773	620
111	778	611
112	785	604
113	791	596
114	796	588
115	803	581
116	808	573
117	813	565
118	820	558
119	825	550
120	832	543
121	838	536
122	843	528
123	850	521
124	855	513
125	860	505
126	867	498
127	872	490
128	878	483
129	884	476
130	890	468
131	896	461
132	902	454
133	908	447
134	914	440
135	920	433
136	925	425
137	932	418
138	939	412
139	946	405
140	952	398
141	959	391
142	966	385
143	973	378
144	982	372
145	993	367
146	1003	361
147	1010	355
148	1017	348
149	1023	341
150	1030	334
151	1036	327
152	1042	320
153	1048	313
154	1054	306
155	1061	299
156	1069	292
157	1075	285
158	1082	279
159	1087	271
160	1093	264
161	1100	258
162	1108	251
163	1114	244
164	1120	237
165	1127	230
166	1133	224
167	1140	217
168	1146	210
169	1151	203
170	1158	196
171	1164	189
172	1172	182
173	1178	176
174	1183	169
175	1189	162
176	1195	155
177	1201	148
178	1207	141
179	1213	134
180	1220	128
181	1225	121
182	1232	114
183	1238	107
184	1244	100
185	1249	94
186	1257	87
187	1263	80
188	1271	74
189	1277	67
190	1284	60
191	1290	53
192	1296	47
193	1303	40
194	1308	33
195	1317	26
196	1323	20
197	1328	13
198	1334	6
199	1339	0
