skills_count,experience,projects,education,ats_keywords,action_verbs,resume_length,has_contact,has_sections,formatting_score,frontend_skills,backend_skills,database_skills,cloud_skills,ml_skills,ats_pass
14,6.3,3,3,17,10,547,1,1,7.5,3,2,2,2,2,1
7,3.2,1,2,11,2,589,1,1,3.7,4,0,1,1,0,0
13,0.0,5,3,14,5,428,0,1,7.9,4,3,2,1,0,1
11,1.3,3,1,15,6,434,1,1,7.3,0,1,2,1,5,1
10,6.5,3,4,10,8,634,1,0,9.2,2,3,1,1,2,1
16,0.1,0,2,11,4,454,1,1,9.1,0,2,2,7,1,0
10,1.6,3,2,10,7,454,1,1,8.7,5,2,1,1,0,0
12,0.4,5,3,16,3,508,1,0,5.6,3,3,2,2,1,1
16,0.5,1,2,14,7,411,1,1,5.6,0,2,3,2,7,0
14,3.2,3,2,12,7,513,1,0,6.6,0,1,2,2,5,1
14,0.9,2,2,16,1,384,0,1,6.6,3,6,2,1,0,1
13,1.4,1,2,14,0,572,1,1,8.4,4,2,2,1,1,0
17,0.8,1,2,13,3,496,1,1,4.6,1,1,4,1,7,1
14,0.1,1,1,13,2,502,1,1,5.4,2,3,1,2,2,0
17,0.0,1,0,13,1,427,1,1,5.7,1,1,2,2,7,0
14,0.3,1,3,15,6,420,1,0,5.8,4,2,2,2,1,1
13,1.1,4,2,13,7,477,1,1,6.0,4,3,2,1,2,1
14,1.1,6,2,11,3,546,1,1,9.2,0,2,2,2,5,0
14,0.7,0,2,11,5,424,1,1,9.1,4,5,2,2,0,1
12,2.5,1,3,16,3,404,1,1,6.1,3,3,1,2,1,0
13,0.9,4,0,12,6,474,1,1,9.6,1,2,2,6,1,1
15,0.4,1,2,15,6,613,1,1,8.1,4,3,2,1,1,0
11,0.0,2,2,13,2,471,1,1,8.5,0,1,3,1,5,0
20,0.6,3,2,15,4,464,1,1,8.3,3,7,4,3,0,1
15,3.4,4,3,13,5,493,1,1,6.3,0,2,2,1,6,0
11,1.1,4,1,11,4,584,1,0,8.3,1,1,1,7,0,1
18,2.0,3,2,16,7,356,1,0,7.8,5,3,3,2,1,0
20,2.2,8,2,22,6,537,1,0,9.1,6,5,3,2,0,1
10,1.5,2,2,17,4,332,1,1,9.7,2,2,1,2,1,1
12,0.5,2,2,11,4,488,0,1,7.6,4,2,2,1,0,1
12,1.9,2,2,14,6,415,1,1,6.5,6,1,2,0,0,0
13,2.1,2,3,13,2,499,0,1,5.3,1,2,2,4,0,0
11,0.5,3,1,16,2,407,1,1,7.6,0,2,2,4,1,0
15,0.6,2,3,15,2,385,1,0,6.8,4,2,2,1,2,0
16,0.6,3,1,19,4,258,1,1,7.9,0,1,4,2,5,1
18,1.4,4,1,15,7,459,1,1,6.5,4,5,3,2,0,1
17,1.5,1,2,12,4,514,0,1,6.9,0,1,4,1,7,1
17,1.6,4,4,18,1,401,1,0,9.1,0,2,2,2,8,1
12,8.0,2,3,11,10,697,1,1,8.8,3,2,2,2,2,1
14,0.3,4,2,11,2,554,1,1,8.7,4,3,2,2,1,0
18,1.2,2,2,18,7,494,1,1,7.3,6,4,3,1,0,0
12,1.0,2,2,19,4,504,1,1,8.8,8,0,1,0,0,1
17,1.2,1,4,14,6,555,1,1,9.8,4,5,3,1,0,1
15,0.6,1,0,6,5,516,1,1,7.3,1,3,1,7,1,0
13,1.4,4,2,9,4,491,1,1,6.3,3,2,1,2,1,1
13,0.2,1,1,17,4,417,1,0,4.3,2,4,3,2,1,0
13,2.1,6,2,10,4,459,1,0,2.0,1,1,1,6,0,0
17,0.9,3,3,18,3,286,1,1,5.1,6,3,3,2,0,1
18,0.8,2,2,14,3,568,1,1,8.8,3,5,4,3,0,0
11,0.8,4,4,11,4,452,1,1,6.6,4,2,1,1,1,1
11,2.4,2,1,11,4,515,0,1,6.2,7,0,1,1,0,0
15,5.4,5,2,13,7,607,0,1,7.6,0,2,3,1,8,0
7,0.1,1,2,7,4,435,1,1,8.2,4,0,1,1,0,0
13,0.3,0,4,11,3,679,1,1,9.0,6,2,2,0,0,1
14,1.3,2,2,13,2,489,1,1,7.8,2,5,3,1,0,0
9,5.4,2,2,12,7,674,1,1,7.6,2,2,1,2,1,0
17,1.7,3,2,15,2,550,0,1,8.0,4,5,2,1,1,0
13,6.8,4,3,9,9,703,1,1,7.3,0,3,2,7,0,1
16,1.1,3,2,16,4,394,1,1,6.5,0,2,4,2,7,1
11,5.5,4,2,14,5,568,1,1,7.2,3,2,2,1,2,1
13,1.7,2,2,13,5,561,1,1,9.5,3,5,2,1,0,1
12,2.2,4,2,18,5,488,1,1,7.3,4,2,2,1,0,1
14,4.4,1,2,13,6,635,0,1,9.7,0,2,3,2,5,0
10,0.3,1,3,15,3,463,1,1,8.3,3,2,1,1,1,1
14,1.4,2,2,11,3,580,1,0,8.5,7,1,1,1,0,0
12,2.3,2,3,17,11,514,1,1,8.2,1,7,2,1,0,1
15,7.0,3,2,12,12,627,1,1,7.2,5,3,2,1,0,1
16,1.3,5,3,14,5,543,1,0,8.7,3,5,2,1,1,1
15,0.5,3,4,8,1,584,1,1,9.1,5,4,2,2,0,1
15,2.0,5,2,11,7,519,1,1,6.2,4,4,2,1,1,1
15,0.4,4,3,11,7,530,1,0,6.7,0,1,4,1,5,0
9,6.0,3,3,11,11,433,1,0,5.2,1,1,1,4,0,0
15,1.2,4,3,18,2,461,1,0,6.6,3,4,2,1,1,0
15,2.8,2,2,12,4,534,1,1,8.0,1,2,2,2,4,0
15,0.0,1,4,16,0,486,1,1,3.1,1,5,4,3,0,1
13,0.3,4,1,11,2,496,1,1,4.9,9,1,1,0,0,0
12,2.2,2,2,18,6,504,1,1,5.0,2,2,1,2,1,1
14,0.4,5,3,17,3,559,0,1,7.6,1,2,2,7,1,1
12,0.9,4,3,13,5,455,1,1,9.2,2,3,2,1,1,0
16,2.0,3,4,14,5,533,1,1,8.4,0,2,2,7,1,1
