education,cgpa,experience,projects,internships,skills_count,frontend_skills,backend_skills,database_skills,cloud_skills,ml_skills,certifications,has_github,has_linkedin,resume_score,readiness_level
2,7.02,1.8,4,1,18,3,5,2,3,1,4,0,1,79.8,3
2,8.7,1.3,0,0,11,1,1,1,5,1,2,1,0,59.1,1
2,7.51,0.8,5,0,19,5,5,3,1,1,2,0,1,90.2,2
4,6.87,0.8,2,3,11,0,2,2,1,5,3,0,1,62.4,2
1,10.0,0.8,2,1,16,1,6,4,2,1,0,1,1,83.7,2
3,6.77,0.4,3,1,15,6,3,3,2,0,2,1,1,84.7,2
3,7.53,1.1,8,1,15,3,5,3,2,1,2,0,1,59.7,3
2,6.94,1.0,3,1,11,1,4,3,2,0,1,1,0,76.6,2
2,8.44,1.3,4,2,14,3,4,3,2,0,1,1,0,67.0,3
2,8.96,2.1,2,2,13,4,3,2,2,1,2,1,1,92.4,3
3,7.25,1.6,3,0,10,2,2,2,1,2,1,1,1,62.4,2
3,8.74,2.5,2,2,12,8,1,1,1,0,1,0,1,91.2,2
2,8.67,0.3,4,0,11,5,1,2,1,0,2,0,1,72.3,2
2,7.45,0.2,2,2,16,8,2,2,1,0,2,1,1,70.4,2
0,5.48,2.4,1,0,13,8,1,1,0,0,2,1,1,86.2,2
2,9.35,1.3,0,3,19,3,7,3,3,0,0,1,1,71.7,2
2,5.73,1.4,2,0,13,0,1,1,6,1,0,0,1,53.7,1
3,9.58,2.6,1,2,11,2,2,2,1,2,1,1,0,78.4,2
2,8.99,1.0,2,0,14,4,4,3,2,0,1,0,0,77.8,2
2,9.63,7.8,5,2,14,3,3,3,2,0,0,1,0,98.0,3
2,7.67,3.4,4,3,12,0,3,1,4,1,2,1,1,64.6,3
2,6.5,0.2,1,3,12,3,2,2,1,2,1,1,1,75.9,2
0,8.71,1.0,4,2,14,4,5,2,2,0,0,0,0,57.0,2
2,8.44,0.2,5,0,13,0,1,4,1,5,4,1,0,82.1,3
3,8.02,0.5,3,0,16,5,4,2,2,1,1,1,1,79.5,2
3,9.17,3.7,2,3,15,5,5,3,1,0,1,1,1,87.5,3
2,7.92,0.1,2,1,14,0,1,3,1,5,2,1,1,71.3,2
0,7.26,1.6,4,1,12,0,2,1,6,0,1,0,1,76.9,2
4,9.85,1.1,1,1,10,2,2,1,1,2,0,1,1,85.3,1
3,8.6,4.7,1,1,15,1,6,2,2,0,1,1,1,73.4,3
2,7.0,3.7,1,0,16,5,5,3,1,1,4,1,0,61.9,2
3,8.68,3.3,2,3,20,3,6,4,2,1,2,0,0,85.5,3
1,7.35,0.5,2,0,16,1,2,2,2,5,3,1,1,79.4,2
1,8.07,1.4,2,2,13,3,3,2,2,0,0,0,1,67.8,2
2,9.48,4.4,2,2,14,4,4,3,2,0,2,1,1,79.2,3
3,7.55,1.3,2,0,15,1,2,4,1,5,7,0,0,72.4,3
2,8.72,5.5,4,2,13,2,3,1,2,1,0,1,0,83.0,3
1,5.78,0.2,2,1,18,3,5,3,2,1,0,0,0,91.4,1
2,9.05,0.2,2,2,10,0,3,1,4,0,2,1,1,79.3,1
3,7.43,2.1,0,1,18,0,1,4,2,8,1,1,1,86.7,2
2,6.11,0.3,2,1,12,9,0,1,1,0,0,1,1,71.9,1
4,8.89,0.9,1,2,9,5,0,1,1,0,2,0,1,81.5,2
2,8.72,0.6,1,0,13,1,2,1,6,0,3,0,0,66.8,2
2,7.32,2.9,3,2,18,4,5,3,2,1,1,1,0,84.6,2
2,7.1,1.3,1,2,19,5,4,3,2,1,1,1,1,71.5,2
3,9.69,0.8,3,3,17,9,1,2,1,0,1,1,1,70.6,3
2,8.56,4.4,2,1,16,5,4,3,1,0,1,1,1,70.2,2
2,8.29,0.7,4,3,15,5,4,2,2,1,1,0,1,91.2,3
2,10.0,9.9,4,1,16,3,6,4,1,0,1,1,1,98.0,3
2,8.37,0.1,3,2,14,3,2,2,1,2,1,1,1,65.6,2
1,6.48,1.5,2,0,16,5,5,2,1,0,1,1,1,79.8,1
2,8.96,6.4,3,1,13,0,2,2,2,4,2,1,1,89.9,3
2,8.35,0.3,3,3,14,1,7,3,2,0,2,1,1,67.5,2
1,7.71,0.4,3,0,18,6,4,3,1,1,1,0,1,81.5,1
3,6.97,0.1,2,1,15,4,4,2,1,1,0,1,1,70.9,1
2,8.23,1.3,2,0,12,8,0,2,0,0,2,1,0,89.2,2
4,9.04,1.2,1,1,12,4,3,3,1,0,0,1,1,64.3,2
1,6.47,0.4,0,3,15,1,3,1,5,1,2,0,1,82.6,2
2,8.3,0.2,1,1,13,1,2,2,7,0,5,0,1,70.2,2
2,9.7,0.2,2,1,12,0,1,1,6,1,1,1,0,71.7,1
2,7.21,2.6,3,0,17,0,1,4,2,8,5,0,1,80.2,3
2,8.01,2.7,2,0,12,1,2,3,1,4,2,1,1,78.0,2
2,8.08,6.8,3,2,12,3,2,1,1,2,1,1,0,84.0,3
3,9.81,1.5,3,2,12,1,1,4,1,4,3,1,0,75.5,3
4,9.58,0.1,2,2,18,0,1,4,2,8,2,1,1,77.9,2
1,9.49,0.4,2,2,18,3,6,2,3,1,0,1,0,68.9,2
2,8.6,2.1,5,1,17,5,5,2,2,0,1,1,1,88.5,3
1,8.47,0.3,0,0,10,6,0,1,0,0,1,1,1,67.4,1
2,8.41,2.0,2,1,13,0,1,2,7,0,1,1,0,78.3,2
2,9.5,0.3,0,3,17,3,7,2,2,1,3,1,1,83.0,2
3,7.16,1.5,2,3,14,3,3,2,2,1,4,0,1,77.7,2
