education,cgpa,projects,internships,experience,skills_count,frontend_skills,backend_skills,database_skills,cloud_skills,ml_skills,has_github,has_linkedin,resume_length,certifications,achievements,ats_keywords,action_verbs,leadership,open_source,resume_score
2,6.99,0,3,0.4,13,3,3,2,2,2,0,1,487,0,0,7,5,1,0,75.7
2,7.94,5,2,1.2,13,5,2,2,0,0,1,1,567,2,1,16,6,1,1,98.0
0,6.49,2,1,0.5,9,2,2,1,1,2,1,1,378,3,0,10,3,0,0,68.9
2,7.91,4,3,1.0,17,3,5,2,2,1,1,1,446,2,1,20,3,0,0,98.0
2,8.36,4,0,0.5,12,2,4,2,1,0,1,1,570,2,0,12,3,0,0,89.1
2,8.07,3,2,3.0,17,3,5,3,2,0,1,1,538,1,3,18,7,1,0,98.0
2,7.68,3,2,0.6,14,4,3,1,1,2,1,1,596,1,2,18,4,1,1,98.0
3,8.87,6,3,1.6,16,5,3,2,2,0,1,1,679,3,1,20,7,0,0,98.0
2,7.84,2,1,0.5,13,2,3,1,2,1,1,0,722,4,0,13,6,1,0,96.1
2,8.49,2,3,0.3,12,1,3,1,5,0,0,0,500,3,2,16,2,0,1,95.9
2,6.31,0,0,2.2,13,3,2,2,1,1,0,1,544,1,0,22,9,0,0,75.9
2,8.54,2,0,4.0,11,4,2,1,2,1,1,1,635,2,3,10,4,1,0,98.0
0,7.26,2,0,0.2,17,4,4,2,2,1,1,1,645,2,0,17,2,1,0,85.9
2,8.76,6,0,2.6,10,5,0,1,1,0,1,1,772,1,2,11,6,0,0,98.0
2,9.71,3,0,0.3,11,0,1,4,1,4,1,0,561,2,0,14,3,0,0,85.5
2,10.0,4,1,1.0,14,3,5,2,1,0,1,1,609,0,0,19,3,0,0,98.0
1,6.35,4,2,3.4,12,4,3,1,1,1,1,1,519,0,0,19,8,0,0,95.3
3,7.56,1,1,0.8,13,3,2,1,2,1,1,0,676,3,1,16,4,0,1,93.0
2,5.98,3,1,2.2,10,2,2,2,1,1,0,1,533,4,0,17,4,0,0,83.3
4,10.0,4,6,6.5,14,4,3,2,1,0,1,1,602,1,4,22,11,1,1,98.0
0,8.15,1,0,1.8,15,4,4,3,1,0,0,1,633,2,3,16,7,1,0,96.0
2,8.5,1,0,2.5,14,6,1,2,1,0,1,1,539,1,0,19,4,1,1,93.0
2,7.55,1,2,1.8,15,4,3,1,1,2,0,0,428,0,0,15,0,0,0,79.4
0,7.25,4,0,0.4,14,5,3,2,1,1,1,0,548,0,0,12,0,0,0,73.9
2,8.5,3,1,2.2,12,4,3,2,1,0,1,1,707,2,1,17,6,1,0,98.0
3,8.33,4,1,3.8,15,1,3,1,5,1,1,1,628,2,2,18,5,1,1,98.0
1,10.0,3,2,3.2,16,3,4,3,2,0,0,1,557,2,0,19,7,1,0,98.0
3,10.0,5,1,6.9,17,3,6,3,2,0,1,1,893,5,1,19,12,1,0,98.0
2,10.0,4,2,1.7,14,1,1,3,2,5,1,0,506,0,0,18,3,0,1,98.0
1,9.1,0,2,0.2,14,2,5,3,3,0,0,1,320,0,0,19,2,0,0,70.6
