role,location,education,experience,skills_count,projects,salary_lpa
DevOps Engineer,Ahmedabad,2,0.9,16,5,12.27
AI Engineer,Ahmedabad,3,1.2,6,5,12.31
Full Stack Developer,Chennai,2,10.2,20,5,31.02
Frontend Developer,Pune,3,0.3,23,6,14.71
ML Engineer,Mumbai,2,2.3,7,2,14.49
AI Engineer,Chennai,1,0.0,23,2,21.47
Cybersecurity Analyst,Kolkata,3,1.2,10,4,15.74
Frontend Developer,Delhi,1,1.6,5,2,12.65
Frontend Developer,Remote,0,1.2,23,3,13.21
DevOps Engineer,Bangalore,2,1.8,15,4,15.7
Frontend Developer,Ahmedabad,2,1.4,6,4,10.65
DevOps Engineer,Delhi,3,0.2,22,2,14.54
DevOps Engineer,Kolkata,2,17.2,9,12,38.32
Backend Developer,Mumbai,2,1.2,24,3,11.82
AI Engineer,US Remote,0,0.5,16,1,35.47
Software Engineer,Remote,1,5.1,7,2,20.04
Data Analyst,US Remote,3,4.1,18,4,34.07
AI Engineer,Pune,2,3.3,10,1,19.54
ML Engineer,Delhi,2,0.1,21,2,14.2
Frontend Developer,Bangalore,2,0.4,7,1,10.47
Cloud Engineer,US Remote,4,0.8,13,3,39.98
DevOps Engineer,Kolkata,1,1.8,22,7,18.02
AI Engineer,Chennai,2,0.9,21,3,16.91
Cloud Engineer,Chennai,2,1.0,5,1,13.92
Frontend Developer,Remote,2,0.2,6,4,9.01
Software Engineer,US Remote,2,0.5,19,4,28.56
Data Analyst,Mumbai,2,0.0,21,2,9.98
Frontend Developer,Remote,2,1.0,5,1,9.19
Cloud Engineer,Remote,2,1.8,22,3,16.96
Full Stack Developer,Delhi,4,0.9,21,1,18.54
Backend Developer,Kolkata,3,3.0,22,2,14.19
Full Stack Developer,Pune,2,4.6,12,6,19.58
Backend Developer,US Remote,3,1.9,15,5,30.4
Backend Developer,Ahmedabad,2,1.6,14,3,12.46
Software Engineer,Kolkata,4,0.9,11,2,13.71
ML Engineer,Mumbai,2,0.9,11,4,16.08
Data Analyst,Hyderabad,2,5.2,10,8,20.62
DevOps Engineer,Remote,2,5.4,6,5,18.67
AI Engineer,Kolkata,3,7.9,24,6,33.47
DevOps Engineer,Chennai,0,5.7,23,6,27.91
AI Engineer,US Remote,2,0.0,21,5,42.18
Data Analyst,Kolkata,2,1.5,7,2,10.09
ML Engineer,Remote,2,0.7,9,3,16.45
Full Stack Developer,Pune,4,0.3,10,3,12.75
Cybersecurity Analyst,Pune,2,1.7,14,5,13.88
Cybersecurity Analyst,Hyderabad,2,1.8,14,6,18.06
Cybersecurity Analyst,Hyderabad,3,6.4,15,9,21.34
Cloud Engineer,Bangalore,2,2.2,23,4,21.88
Backend Developer,Pune,0,0.8,20,2,10.84
Frontend Developer,Chennai,2,2.3,14,4,18.28
ML Engineer,Bangalore,3,5.9,23,12,33.49
Frontend Developer,US Remote,1,0.7,12,4,22.69
Software Engineer,Pune,2,0.5,23,4,13.14
AI Engineer,Remote,3,0.7,23,2,18.5
Software Engineer,Delhi,3,0.7,21,6,14.37
DevOps Engineer,Chennai,2,2.0,15,4,16.12
DevOps Engineer,Pune,3,2.3,6,3,16.03
Cybersecurity Analyst,Ahmedabad,1,0.3,20,2,13.11
Software Engineer,Remote,2,0.8,22,1,11.91
Backend Developer,Hyderabad,1,4.7,22,3,21.93
DevOps Engineer,US Remote,1,2.4,23,4,34.29
Frontend Developer,Chennai,2,2.4,21,3,17.46
Cloud Engineer,Chennai,2,1.3,13,4,14.64
Software Engineer,Remote,2,1.3,6,4,13.94
Software Engineer,Kolkata,3,0.2,15,1,11.88
Cybersecurity Analyst,Chennai,3,2.4,11,2,13.07
ML Engineer,Ahmedabad,2,1.5,21,4,18.44
Cybersecurity Analyst,Kolkata,2,0.5,22,5,13.53
Full Stack Developer,Remote,2,0.9,19,5,13.85
DevOps Engineer,Chennai,2,0.2,11,1,12.39
Software Engineer,Remote,2,4.2,11,4,19.53
Full Stack Developer,Hyderabad,3,0.6,21,4,15.61
AI Engineer,Mumbai,2,1.7,18,2,17.57
Cloud Engineer,US Remote,2,4.6,18,4,36.28
Cybersecurity Analyst,US Remote,2,6.5,21,7,44.9
Data Analyst,Pune,3,5.4,9,4,19.83
Frontend Developer,Delhi,2,1.4,24,7,13.51
Backend Developer,Chennai,2,3.9,15,1,17.35
DevOps Engineer,Delhi,3,0.7,23,6,14.26
Data Analyst,Delhi,2,4.3,6,4,16.31
ML Engineer,Chennai,3,0.9,19,2,18.51
Software Engineer,Delhi,2,0.5,13,5,12.98
Full Stack Developer,Ahmedabad,2,1.8,17,1,14.68
Software Engineer,Delhi,2,4.9,15,1,23.62
DevOps Engineer,Ahmedabad,2,2.9,11,6,17.4
Full Stack Developer,Mumbai,3,3.6,10,3,23.33
Cybersecurity Analyst,Delhi,2,7.7,16,2,24.6
Data Analyst,Kolkata,2,1.0,16,8,12.68
Data Analyst,Bangalore,3,3.7,9,5,16.58
Cloud Engineer,Bangalore,2,6.1,17,2,22.95
Cloud Engineer,Delhi,2,6.6,17,8,24.09
Backend Developer,US Remote,1,0.2,23,4,27.22
DevOps Engineer,Hyderabad,3,0.6,15,2,17.21
Cloud Engineer,Ahmedabad,2,1.7,13,2,14.52
ML Engineer,Remote,2,0.1,9,2,13.88
Backend Developer,US Remote,2,6.1,10,4,32.92
Frontend Developer,Bangalore,4,0.6,5,1,10.7
Frontend Developer,Pune,0,0.2,19,5,11.04
Backend Developer,Bangalore,3,1.8,24,2,17.32
Software Engineer,Kolkata,2,5.1,13,6,18.59
Cybersecurity Analyst,Delhi,3,2.7,14,3,19.1
Backend Developer,Ahmedabad,2,1.0,7,1,11.42
ML Engineer,Mumbai,2,20.0,15,12,63.36
DevOps Engineer,Mumbai,3,3.5,18,4,22.99
Cybersecurity Analyst,Remote,2,4.1,20,3,16.81
Backend Developer,US Remote,3,10.8,10,7,62.75
Frontend Developer,Pune,2,4.2,11,2,17.95
Frontend Developer,Pune,0,6.4,5,5,18.71
Frontend Developer,Ahmedabad,2,1.2,24,2,16.17
DevOps Engineer,Ahmedabad,2,1.4,16,4,14.79
DevOps Engineer,Hyderabad,2,3.8,11,3,19.51
Software Engineer,Chennai,3,0.8,8,3,13.01
Backend Developer,Pune,0,7.6,11,3,19.5
Frontend Developer,Mumbai,1,1.3,18,5,14.58
Software Engineer,Ahmedabad,2,0.7,24,1,12.56
AI Engineer,Chennai,2,0.3,12,3,12.09
Backend Developer,Pune,2,1.7,18,3,13.28
Data Analyst,Chennai,2,10.5,8,8,28.18
Data Analyst,Pune,2,1.6,8,8,12.63
Frontend Developer,Remote,2,0.9,9,5,13.45
AI Engineer,Pune,2,1.1,19,3,18.27
Backend Developer,Remote,2,0.8,18,1,13.61
Frontend Developer,Chennai,2,3.3,15,3,15.21
Cloud Engineer,Mumbai,2,4.9,10,6,26.5
Data Analyst,Hyderabad,2,1.0,9,2,10.06
ML Engineer,Kolkata,3,2.5,16,2,20.72
Backend Developer,Kolkata,2,1.6,11,3,13.39
Backend Developer,Delhi,2,1.5,17,3,14.95
Frontend Developer,Delhi,2,3.0,17,4,17.99
DevOps Engineer,Mumbai,2,1.4,5,7,16.19
ML Engineer,Remote,3,0.2,23,1,16.14
ML Engineer,Ahmedabad,2,3.6,23,3,19.8
AI Engineer,Chennai,3,1.0,24,3,11.43
Full Stack Developer,Pune,3,4.2,23,4,22.65
Backend Developer,Remote,2,2.6,11,7,13.66
DevOps Engineer,Delhi,0,0.6,11,1,12.2
Cybersecurity Analyst,Kolkata,3,0.5,17,6,14.35
Software Engineer,Mumbai,1,0.6,9,4,13.85
Backend Developer,Pune,3,1.3,7,4,13.88
ML Engineer,Remote,1,3.2,17,4,18.15
ML Engineer,Chennai,2,2.3,15,3,17.79
DevOps Engineer,Bangalore,2,0.4,21,2,11.13
DevOps Engineer,US Remote,2,1.5,13,6,40.28
AI Engineer,Remote,2,0.0,11,3,14.62
Backend Developer,Pune,2,2.1,8,4,15.74
Full Stack Developer,Delhi,2,8.3,7,7,28.18
Data Analyst,Mumbai,2,2.1,11,4,12.09
Backend Developer,Bangalore,2,2.3,7,1,16.1
