iter	RMSE
0	7.3064706
1	6.764632554
2	6.282496778
3	5.839919181
4	5.462647347
5	5.133193729
6	4.836608272
7	4.587879999
8	4.357743074
9	4.163245603
10	3.988178084
11	3.830639176
12	3.693134622
13	3.580067037
14	3.477572199
15	3.394981781
16	3.322908937
17	3.261780418
18	3.176818504
19	3.107353934
20	3.054448658
21	3.00352104
22	2.971562695
23	2.936069304
24	2.887159996
25	2.864925931
26	2.838633416
27	2.817888402
28	2.801568299
29	2.78675317
30	2.751810091
31	2.733490301
32	2.722808194
33	2.702715902
34	2.692981993
35	2.675640832
36	2.66120269
37	2.6393755
38	2.630137516
39	2.616721462
40	2.609333449
41	2.594902706
42	2.58627406
43	2.581676315
44	2.576811553
45	2.566469622
46	2.553681654
47	2.541072204
48	2.532160043
49	2.529200368
50	2.519585152
51	2.512191676
52	2.50588706
53	2.502281684
54	2.497409245
55	2.49517778
56	2.49293066
57	2.488223117
58	2.485189758
59	2.481137774
60	2.474952112
61	2.47199788
62	2.47000161
63	2.467460062
64	2.465128825
65	2.462903967
66	2.461432924
67	2.457355694
68	2.454395209
69	2.450046923
70	2.447685223
71	2.443653097
72	2.44224453
73	2.440694302
74	2.438917789
75	2.437189116
76	2.433917367
77	2.432046596
78	2.430642738
79	2.429261107
80	2.428205222
81	2.426915561
82	2.424572874
83	2.423095861
84	2.421215375
85	2.419853895
86	2.417798375
87	2.416464792
88	2.415144104
89	2.414001721
90	2.412693274
91	2.41197834
92	2.410071948
93	2.408910927
94	2.408016122
95	2.407207175
96	2.405915682
97	2.404918246
98	2.404488971
99	2.403701889
100	2.4022649
101	2.401467199
102	2.399712634
103	2.398770086
104	2.398109006
105	2.39702864
106	2.395544588
107	2.394373166
108	2.393206142
109	2.392695575
110	2.391822393
111	2.391169473
112	2.390190513
113	2.388826467
114	2.388114696
115	2.386837699
116	2.386002709
117	2.384832641
118	2.38387832
119	2.383308513
120	2.381863693
121	2.380644552
122	2.379619799
123	2.378386269
124	2.377634391
125	2.377105199
126	2.375909996
127	2.375165846
128	2.374066727
129	2.37378607
130	2.373213993
131	2.372346559
132	2.370812733
133	2.369975946
134	2.369038101
135	2.368423403
136	2.367030317
137	2.366499537
138	2.365871098
139	2.365122539
140	2.364319962
141	2.36385175
142	2.363047441
143	2.362026027
144	2.361230735
145	2.360057671
146	2.359061011
147	2.358385834
148	2.357491453
149	2.356713712
150	2.355367445
151	2.354374784
152	2.353661146
153	2.35331658
154	2.352612157
155	2.351782776
156	2.351103547
157	2.349922083
158	2.349381439
159	2.348659594
160	2.347816705
161	2.34704974
162	2.346293531
163	2.34602603
164	2.345297919
165	2.344220538
166	2.343716605
167	2.343478536
168	2.342904559
169	2.342416417
170	2.341647639
171	2.340735226
172	2.339803743
173	2.338855197
174	2.33828624
175	2.337561075
176	2.337363065
177	2.336996836
178	2.336412181
179	2.335779256
180	2.335249991
181	2.334282041
182	2.333582918
183	2.332814767
184	2.332053911
185	2.331783448
186	2.331413304
187	2.330662706
188	2.330267596
189	2.329660651
190	2.32945661
191	2.328821745
192	2.328276748
193	2.327644549
194	2.327438108
195	2.326745394
196	2.326141878
197	2.325284321
198	2.324650522
199	2.323938506
