iter	Passed	Remaining
0	12	2495
1	26	2594
2	42	2776
3	54	2678
4	68	2652
5	80	2593
6	93	2580
7	106	2565
8	122	2605
9	136	2596
10	148	2557
11	162	2538
12	176	2542
13	189	2514
14	202	2492
15	217	2500
16	229	2468
17	243	2463
18	256	2442
19	267	2405
20	278	2371
21	289	2342
22	304	2342
23	318	2337
24	338	2369
25	351	2355
26	364	2333
27	377	2318
28	389	2296
29	404	2290
30	418	2283
31	432	2270
32	444	2248
33	457	2234
34	471	2222
35	482	2198
36	493	2173
37	506	2158
38	518	2141
39	530	2122
40	540	2097
41	552	2076
42	562	2053
43	573	2031
44	583	2008
45	593	1987
46	606	1975
47	619	1962
48	634	1954
49	645	1937
50	656	1918
51	670	1907
52	683	1895
53	694	1878
54	706	1861
55	717	1845
56	729	1830
57	743	1819
58	753	1801
59	766	1789
60	779	1777
61	791	1762
62	802	1745
63	815	1732
64	826	1716
65	836	1698
66	849	1685
67	861	1672
68	873	1658
69	884	1643
70	897	1630
71	907	1614
72	917	1596
73	929	1581
74	941	1569
75	952	1554
76	965	1541
77	978	1530
78	990	1517
79	1002	1504
80	1015	1492
81	1027	1479
82	1042	1469
83	1056	1459
84	1069	1447
85	1081	1433
86	1093	1420
87	1107	1409
88	1120	1397
89	1132	1384
90	1143	1369
91	1157	1359
92	1171	1347
93	1182	1333
94	1192	1317
95	1202	1302
96	1214	1290
97	1234	1284
98	1257	1283
99	1277	1277
100	1296	1271
101	1310	1259
102	1323	1246
103	1334	1232
104	1347	1219
105	1360	1206
106	1372	1192
107	1385	1180
108	1397	1166
109	1410	1154
110	1421	1139
111	1431	1124
112	1443	1111
113	1455	1097
114	1467	1084
115	1479	1071
116	1489	1056
117	1500	1043
118	1511	1028
119	1523	1015
120	1534	1002
121	1548	989
122	1560	977
123	1572	963
124	1582	949
125	1596	937
126	1617	930
127	1630	917
128	1641	903
129	1651	889
130	1665	877
131	1675	863
132	1687	850
133	1697	836
134	1710	823
135	1721	810
136	1731	796
137	1743	783
138	1754	769
139	1764	756
140	1775	743
141	1787	730
142	1797	716
143	1809	703
144	1819	690
145	1829	676
146	1841	664
147	1853	651
148	1863	637
149	1878	626
150	1891	613
151	1903	601
152	1919	589
153	1932	577
154	1943	564
155	1956	551
156	1968	539
157	1979	526
158	1990	513
159	2001	500
160	2012	487
161	2024	474
162	2035	462
163	2046	449
164	2056	436
165	2067	423
166	2078	410
167	2087	397
168	2100	385
169	2111	372
170	2121	359
171	2134	347
172	2146	334
173	2156	322
174	2170	310
175	2180	297
176	2189	284
177	2200	271
178	2211	259
179	2221	246
180	2232	234
181	2244	221
182	2254	209
183	2265	197
184	2276	184
185	2285	172
186	2295	159
187	2307	147
188	2317	134
189	2328	122
190	2338	110
191	2348	97
192	2360	85
193	2372	73
194	2380	61
195	2391	48
196	2399	36
197	2410	24
198	2422	12
199	2431	0
